level,type,attribute,instance,message
error,entity_rule,IfcShapeModel.WR11,"#15016=IfcShapeRepresentation(#118,'Body','SweptSolid',(#15006))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#15037=IfcProductDefinitionShape($,$,(#15016,#15024,#15033)),)) + where (#15037=IfcProductDefinitionShape($,$,(#15016,#15024,#15033)),) = #15016=IfcShapeRepresentation(#118,'Body','SweptSolid',(#15006)).OfProductRepresentation + and 1 = sizeof((#15244=IfcRepresentationMap(#15243,#15016),)) + where (#15244=IfcRepresentationMap(#15243,#15016),) = #15016=IfcShapeRepresentation(#118,'Body','SweptSolid',(#15006)).RepresentationMap + and 0 = sizeof(()) On instance: #15016=IfcShapeRepresentation(#118,'Body','SweptSolid',(#15006))"
error,entity_rule,IfcShapeModel.WR11,"#15024=IfcShapeRepresentation(#375,'Box','BoundingBox',(#15023))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#15037=IfcProductDefinitionShape($,$,(#15016,#15024,#15033)),)) + where (#15037=IfcProductDefinitionShape($,$,(#15016,#15024,#15033)),) = #15024=IfcShapeRepresentation(#375,'Box','BoundingBox',(#15023)).OfProductRepresentation + and 1 = sizeof((#15248=IfcRepresentationMap(#15243,#15024),)) + where (#15248=IfcRepresentationMap(#15243,#15024),) = #15024=IfcShapeRepresentation(#375,'Box','BoundingBox',(#15023)).RepresentationMap + and 0 = sizeof(()) On instance: #15024=IfcShapeRepresentation(#375,'Box','BoundingBox',(#15023))"
error,entity_rule,IfcShapeModel.WR11,"#15033=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#15031))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#15037=IfcProductDefinitionShape($,$,(#15016,#15024,#15033)),)) + where (#15037=IfcProductDefinitionShape($,$,(#15016,#15024,#15033)),) = #15033=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#15031)).OfProductRepresentation + and 1 = sizeof((#15250=IfcRepresentationMap(#15243,#15033),)) + where (#15250=IfcRepresentationMap(#15243,#15033),) = #15033=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#15031)).RepresentationMap + and 0 = sizeof(()) On instance: #15033=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#15031))"
error,entity_rule,IfcShapeModel.WR11,"#17018=IfcShapeRepresentation(#118,'Body','SweptSolid',(#17014))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#17035=IfcProductDefinitionShape($,$,(#17018,#17024,#17032)),)) + where (#17035=IfcProductDefinitionShape($,$,(#17018,#17024,#17032)),) = #17018=IfcShapeRepresentation(#118,'Body','SweptSolid',(#17014)).OfProductRepresentation + and 1 = sizeof((#17288=IfcRepresentationMap(#17287,#17018),)) + where (#17288=IfcRepresentationMap(#17287,#17018),) = #17018=IfcShapeRepresentation(#118,'Body','SweptSolid',(#17014)).RepresentationMap + and 0 = sizeof(()) On instance: #17018=IfcShapeRepresentation(#118,'Body','SweptSolid',(#17014))"
error,entity_rule,IfcShapeModel.WR11,"#17024=IfcShapeRepresentation(#375,'Box','BoundingBox',(#17023))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#17035=IfcProductDefinitionShape($,$,(#17018,#17024,#17032)),)) + where (#17035=IfcProductDefinitionShape($,$,(#17018,#17024,#17032)),) = #17024=IfcShapeRepresentation(#375,'Box','BoundingBox',(#17023)).OfProductRepresentation + and 1 = sizeof((#17290=IfcRepresentationMap(#17287,#17024),)) + where (#17290=IfcRepresentationMap(#17287,#17024),) = #17024=IfcShapeRepresentation(#375,'Box','BoundingBox',(#17023)).RepresentationMap + and 0 = sizeof(()) On instance: #17024=IfcShapeRepresentation(#375,'Box','BoundingBox',(#17023))"
error,entity_rule,IfcShapeModel.WR11,"#17032=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#17030))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#17035=IfcProductDefinitionShape($,$,(#17018,#17024,#17032)),)) + where (#17035=IfcProductDefinitionShape($,$,(#17018,#17024,#17032)),) = #17032=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#17030)).OfProductRepresentation + and 1 = sizeof((#17292=IfcRepresentationMap(#17287,#17032),)) + where (#17292=IfcRepresentationMap(#17287,#17032),) = #17032=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#17030)).RepresentationMap + and 0 = sizeof(()) On instance: #17032=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#17030))"
error,entity_rule,IfcShapeModel.WR11,"#17456=IfcShapeRepresentation(#118,'Body','Brep',(#17388,#17446))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#17464=IfcProductDefinitionShape($,$,(#17456,#17462)),)) + where (#17464=IfcProductDefinitionShape($,$,(#17456,#17462)),) = #17456=IfcShapeRepresentation(#118,'Body','Brep',(#17388,#17446)).OfProductRepresentation + and 1 = sizeof((#17743=IfcRepresentationMap(#17742,#17456),)) + where (#17743=IfcRepresentationMap(#17742,#17456),) = #17456=IfcShapeRepresentation(#118,'Body','Brep',(#17388,#17446)).RepresentationMap + and 0 = sizeof(()) On instance: #17456=IfcShapeRepresentation(#118,'Body','Brep',(#17388,#17446))"
error,entity_rule,IfcShapeModel.WR11,"#17462=IfcShapeRepresentation(#375,'Box','BoundingBox',(#17461))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#17464=IfcProductDefinitionShape($,$,(#17456,#17462)),)) + where (#17464=IfcProductDefinitionShape($,$,(#17456,#17462)),) = #17462=IfcShapeRepresentation(#375,'Box','BoundingBox',(#17461)).OfProductRepresentation + and 1 = sizeof((#17745=IfcRepresentationMap(#17742,#17462),)) + where (#17745=IfcRepresentationMap(#17742,#17462),) = #17462=IfcShapeRepresentation(#375,'Box','BoundingBox',(#17461)).RepresentationMap + and 0 = sizeof(()) On instance: #17462=IfcShapeRepresentation(#375,'Box','BoundingBox',(#17461))"
error,entity_rule,IfcShapeModel.WR11,"#18443=IfcShapeRepresentation(#118,'Body','SweptSolid',(#18439))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#18460=IfcProductDefinitionShape($,$,(#18443,#18449,#18457)),)) + where (#18460=IfcProductDefinitionShape($,$,(#18443,#18449,#18457)),) = #18443=IfcShapeRepresentation(#118,'Body','SweptSolid',(#18439)).OfProductRepresentation + and 1 = sizeof((#18637=IfcRepresentationMap(#18636,#18443),)) + where (#18637=IfcRepresentationMap(#18636,#18443),) = #18443=IfcShapeRepresentation(#118,'Body','SweptSolid',(#18439)).RepresentationMap + and 0 = sizeof(()) On instance: #18443=IfcShapeRepresentation(#118,'Body','SweptSolid',(#18439))"
error,entity_rule,IfcShapeModel.WR11,"#18449=IfcShapeRepresentation(#375,'Box','BoundingBox',(#18448))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#18460=IfcProductDefinitionShape($,$,(#18443,#18449,#18457)),)) + where (#18460=IfcProductDefinitionShape($,$,(#18443,#18449,#18457)),) = #18449=IfcShapeRepresentation(#375,'Box','BoundingBox',(#18448)).OfProductRepresentation + and 1 = sizeof((#18639=IfcRepresentationMap(#18636,#18449),)) + where (#18639=IfcRepresentationMap(#18636,#18449),) = #18449=IfcShapeRepresentation(#375,'Box','BoundingBox',(#18448)).RepresentationMap + and 0 = sizeof(()) On instance: #18449=IfcShapeRepresentation(#375,'Box','BoundingBox',(#18448))"
error,entity_rule,IfcShapeModel.WR11,"#18457=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#18455))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#18460=IfcProductDefinitionShape($,$,(#18443,#18449,#18457)),)) + where (#18460=IfcProductDefinitionShape($,$,(#18443,#18449,#18457)),) = #18457=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#18455)).OfProductRepresentation + and 1 = sizeof((#18641=IfcRepresentationMap(#18636,#18457),)) + where (#18641=IfcRepresentationMap(#18636,#18457),) = #18457=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#18455)).RepresentationMap + and 0 = sizeof(()) On instance: #18457=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#18455))"
error,entity_rule,IfcShapeModel.WR11,"#18676=IfcShapeRepresentation(#118,'Body','SweptSolid',(#18672))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#18693=IfcProductDefinitionShape($,$,(#18676,#18682,#18690)),)) + where (#18693=IfcProductDefinitionShape($,$,(#18676,#18682,#18690)),) = #18676=IfcShapeRepresentation(#118,'Body','SweptSolid',(#18672)).OfProductRepresentation + and 1 = sizeof((#19015=IfcRepresentationMap(#19014,#18676),)) + where (#19015=IfcRepresentationMap(#19014,#18676),) = #18676=IfcShapeRepresentation(#118,'Body','SweptSolid',(#18672)).RepresentationMap + and 0 = sizeof(()) On instance: #18676=IfcShapeRepresentation(#118,'Body','SweptSolid',(#18672))"
error,entity_rule,IfcShapeModel.WR11,"#18682=IfcShapeRepresentation(#375,'Box','BoundingBox',(#18681))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#18693=IfcProductDefinitionShape($,$,(#18676,#18682,#18690)),)) + where (#18693=IfcProductDefinitionShape($,$,(#18676,#18682,#18690)),) = #18682=IfcShapeRepresentation(#375,'Box','BoundingBox',(#18681)).OfProductRepresentation + and 1 = sizeof((#19017=IfcRepresentationMap(#19014,#18682),)) + where (#19017=IfcRepresentationMap(#19014,#18682),) = #18682=IfcShapeRepresentation(#375,'Box','BoundingBox',(#18681)).RepresentationMap + and 0 = sizeof(()) On instance: #18682=IfcShapeRepresentation(#375,'Box','BoundingBox',(#18681))"
error,entity_rule,IfcShapeModel.WR11,"#18690=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#18688))","(sizeof(SELF.OfProductRepresentation) == 1) ^ (sizeof(SELF.RepresentationMap) == 1) ^ (sizeof(ofshapeaspect) == 1) Violated by: ((1 == 1 ^ 1 == 1) ^ 0 == 1) + where 1 = sizeof((#18693=IfcProductDefinitionShape($,$,(#18676,#18682,#18690)),)) + where (#18693=IfcProductDefinitionShape($,$,(#18676,#18682,#18690)),) = #18690=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#18688)).OfProductRepresentation + and 1 = sizeof((#19019=IfcRepresentationMap(#19014,#18690),)) + where (#19019=IfcRepresentationMap(#19014,#18690),) = #18690=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#18688)).RepresentationMap + and 0 = sizeof(()) On instance: #18690=IfcShapeRepresentation(#15026,'Axis','Curve2D',(#18688))"
